Order,Name
0,Clear
1,Musical Lane
2,Oil Slick
3,Slick-n-Slide
4,Catch Leader
5,Catch
6,Move It!
7,Slow Motion
8,Freeze Frame
9,Weakenizer
10,Bombardier
11,Bomber
12,Check
13,Big-Check
14,Wipeout
15,Delay
16,Super Delay
17,Clay Post
18,Grass Post
19,Sap
20,Super-Sap
21,Dead End
22,Stonewall
23,Sideswipe
24,Big Exhaust
25,Exhausted
26,Exhaust
27,Ultra Exhaustion
28,Weaken
29,Bummer
30,Dawdle
31,Think Fast!
32,Distract
33,Banana Peel
34,Bananas!
35,Dirt Post
36,Stumble On
37,Stumble
38,Leech
39,Mega-Leech
40,Mute
41,Ultra Mute
42,Charge
43,Supercharge
44,No Passing
45,Upset
46,Big Drain
47,Drain
48,Spiffy-Pop
49,Befuddle
50,Dumbfound
51,Perplex
52,Baffle
53,Rally
54,Big Rally
55,Huge Rally
56,Ultra Rally
57,Lock
58,Super-Lock
59,Big Downer
60,Overtake
61,Super-Pass
62,Deplete
63,Ultra Boost
64,Scoot
65,Recovery
66,Restorative
67,Mega Recovery 
68,Big Recovery
69,Restore
70,Restorative
71,Enfeeble
72,Enfeeblement
73,Mega-Upset
74,Charge Up
75,Ultra Charge
76,Mega-Deplete
77,Boost
78,Pipe Down! 
79,Silence
80,Slow Leader
81,Stop Leader
82,Halt Leader
83,Mega-Boost
84,Eat My Dust
85,Eat My Dirt
86,Siphonizer
87,Siphon
88,Slowpoke
89,Big Boost
90,Super-Stall
91,Stall
92,Immunity
93,Unbreakable
94,Mega Hurry
95,Ultra Hurry
96,Hurry
97,Big Hurry
98,Super Hurry
99,Downer
100,Shush! 
101,Shh!
102,Disconcert
103,Super-Dizzy
104,Killjoy
105,Flummox
106,Stupefy
107,Clear Path
